********************************************************************************
Field Output Report, written Thu Apr 24 12:36:35 2025

Source 1
---------

   ODB: C:/lnms/Vid/cross-hole/PopravljeniRP2.odb
   Step: loading
   Frame: Increment      0: Step Time =    0.000

Loc 1 : Integration point values from source 1

Output sorted by column "Element Label".

Field Output reported at integration points for region: SPECIMEN-1.Region_1

          Element              Int            S.S11            S.S22            S.S33            S.S12
            Label               Pt           @Loc 1           @Loc 1           @Loc 1           @Loc 1
-------------------------------------------------------------------------------------------------------
               14                3   8.96024121E+03   13.1171318E+03               0.  -1.25103088E+03
               14                4   5.08557764E+03   12.0761699E+03               0.  -1.98566785E+03
               15                1   4.13159326E+03   14.2589297E+03               0.      -880.986877
               15                2   6.64176074E+03   22.7991816E+03               0.      -753.939514
               15                3   3.43820874E+03   13.4621201E+03               0.   1.75554041E+03
               15                4   5.56874951E+03   21.2654355E+03               0.   2.66317139E+03
               16                1   9.85912988E+03   9.32877832E+03               0.   4.55428418E+03
               16                2   8.97669824E+03   7.52190771E+03               0.   5.36921484E+03
               16                3   9.33636426E+03   6.79896289E+03               0.   4.22658936E+03
               16                4   8.64214453E+03   5.23025391E+03               0.   4.79189551E+03
               17                1   9.77121582E+03   4.98219824E+03               0.   5.17748926E+03
               17                2   14.2779971E+03   7.06717187E+03               0.   6.74473682E+03
               17                3   12.1998135E+03   5.00452783E+03               0.   4.23581885E+03
               17                4   16.8095957E+03   6.94127051E+03               0.   5.50460547E+03
               18                1   21.2654355E+03   5.56874951E+03               0.   2.66317139E+03
               18                2   22.7991816E+03   6.64176074E+03               0.      -753.939514
               18                3   13.4621201E+03   3.43820874E+03               0.   1.75554041E+03
               18                4   14.2589297E+03   4.13159326E+03               0.      -880.986877
               19                1   12.0761699E+03   5.08557764E+03               0.  -1.98566785E+03
               19                2   10.0457852E+03   4.59599512E+03               0.  -3.17714673E+03
               19                3   13.1171318E+03   8.96024121E+03               0.  -1.25103088E+03
               19                4   11.2950029E+03   8.73055957E+03               0.  -2.30535693E+03
               20                1   5.32065674E+03   8.55196484E+03               0.      -358.313416
               20                2   6.48407764E+03   12.3291758E+03               0.      -107.216560
               20                3   5.40221826E+03   8.29099023E+03               0.       417.697876
               20                4   6.55103955E+03   11.8308965E+03               0.       948.353027
               21                1   15.4295664E+03   11.2917617E+03               0.  -9.56348828E+03
               21                2   14.5118467E+03   11.7752529E+03               0.  -9.85129297E+03
               21                3   13.3955566E+03   10.1984590E+03               0.  -8.86407129E+03
               21                4   12.5315957E+03   10.4522676E+03               0.  -9.01044629E+03
               22                1   11.2875195E+03   11.9803936E+03               0.  -10.1395322E+03
               22                2   16.2975557E+03   18.2049297E+03               0.  -13.1126123E+03
               22                3   9.26440430E+03   14.6672793E+03               0.  -9.66443066E+03
               22                4   13.5606660E+03   20.8965078E+03               0.  -12.3386602E+03
               23                1    8.4261875E+03   17.3146484E+03               0.  -9.43596289E+03
               23                2   6.34443311E+03   17.4717324E+03               0.  -8.14665234E+03
               23                3   6.59205078E+03   13.7559648E+03               0.  -8.26157520E+03
               23                4   4.94290527E+03   13.6867715E+03               0.  -7.23494873E+03
               24                1   5.57490283E+03   12.3795107E+03               0.  -6.40629492E+03
               24                2   4.95332910E+03   10.1633408E+03               0.  -4.96761182E+03
               24                3     10.11475E+03   13.4918936E+03               0.  -7.09834033E+03
